Pool,SITE,YEAR,AMD_ID,Poolsize ,,,
22,Hamdalaye,2019,19GNHa00xp022PfF1290,4,,,
23,Hamdalaye,2019,19GNHa00xp023PfF1290,5,,,
24,Hamdalaye,2019,19GNHa00xp024PfF1290,5,,,
25,Hamdalaye,2019,19GNHa00xp025PfF1290,5,,,
26,Hamdalaye,2019,19GNHa00xp026PfF1290,5,,,
27,Hamdalaye,2019,19GNHa00xp027PfF1290,5,,,
28,Hamdalaye,2019,19GNHa00xp028PfF1290,5,,,
29,Hamdalaye,2019,19GNHa00xp029PfF1290,5,,,
30,Hamdalaye,2019,19GNHa00xp030PfF1290,5,,,
31,Hamdalaye,2019,19GNHa00xp031PfF1290,5,,,
32,Hamdalaye,2019,19GNHa00xp032PfF1290,5,,,
33,Hamdalaye,2019,19GNHa00xp033PfF1290,5,,,
34,Hamdalaye,2019,19GNHa00xp034PfF1290,5,,,
35,Hamdalaye,2019,19GNHa00xp035PfF1290,5,,,
36,Hamdalaye,2019,19GNHa00xp036PfF1290,1,,,
1,Lay-Sarè,2018,18GNLa00xp001PfF1290,5,,,
2,Lay-Sarè,2018,18GNLa00xp002PfF1290,5,,,
3,Lay-Sarè,2018,18GNLa00xp003PfF1290,5,,,
4,Lay-Sarè,2018,18GNLa00xp004PfF1290,5,,,
5,Lay-Sarè,2018,18GNLa00xp005PfF1290,5,,,
6,Lay-Sarè,2018,18GNLa00xp006PfF1290,5,,,
7,Lay-Sarè,2018,18GNLa00xp007PfF1290,5,,,
8,Lay-Sarè,2018,18GNLa00xp008PfF1290,5,,,
9,Lay-Sarè,2018,18GNLa00xp009PfF1290,5,,,
10,Lay-Sarè,2018,18GNLa00xp010PfF1290,5,,,
11,Lay-Sarè,2018,18GNLa00xp011PfF1290,5,,,
12,Lay-Sarè,2018,18GNLa00xp012PfF1290,5,,,
13,Lay-Sarè,2018,18GNLa00xp013PfF1290,5,,,
14,Lay-Sarè,2018,18GNLa00xp014PfF1290,5,,,
15,Lay-Sarè,2018,18GNLa00xp015PfF1290,5,,,
16,Lay-Sarè,2018,18GNLa00xp016PfF1290,5,,,
17,Lay-Sarè,2018,18GNLa00xp017PfF1290,5,,,
18,Lay-Sarè,2018,18GNLa00xp018PfF1290,5,,,
19,Lay-Sarè,2018,18GNLa00xp019PfF1290,5,,,
20,Lay-Sarè,2018,18GNLa00xp020PfF1290,5,,,
21,Lay-Sarè,2018,18GNLa00xp021PfF1290,5,,,
22,Lay-Sarè,2018,18GNLa00xp022PfF1290,5,,,
23,Lay-Sarè,2018,18GNLa00xp023PfF1290,5,,,
24,Lay-Sarè,2018,18GNLa00xp024PfF1290,5,,,
25,Lay-Sarè,2018,18GNLa00xp025PfF1290,5,,,
26,Lay-Sarè,2018,18GNLa00xp026PfF1290,5,,,
